813247037-2946.csv_2: True Class: high, Predicted: high, Probability: 0.857889544058308
813547001-2947.csv_1: True Class: high, Predicted: high, Probability: 0.5726673484024772
813547001-2947.csv_2: True Class: low, Predicted: inactive, Probability: 0.7325004802914163
813846950-2948.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112863137061973
814146614-2949.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112530962895798
814446508-2950.csv_1: True Class: low, Predicted: inactive, Probability: 0.7111987088927868
814746771-2951.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112300191372996
81490088-2952.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112645609642582
815046820-2953.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729451
815346784-2954.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729451
815646748-2955.csv_1: True Class: low, Predicted: inactive, Probability: 0.7380701280927275
815646748-2955.csv_2: True Class: high, Predicted: high, Probability: 0.6853044197888033
815946711-2956.csv_1: True Class: high, Predicted: high, Probability: 0.8945181133401766
816246675-2957.csv_1: True Class: high, Predicted: high, Probability: 0.8518675287755078
816246675-2957.csv_2: True Class: low, Predicted: inactive, Probability: 0.7489858630352672
816546639-2958.csv_1: True Class: low, Predicted: inactive, Probability: 0.7513998235412278
816546639-2958.csv_2: True Class: high, Predicted: high, Probability: 0.7919340237642081
816546639-2958.csv_3: True Class: low, Predicted: inactive, Probability: 0.7462855736625249
816846602-2959.csv_1: True Class: low, Predicted: inactive, Probability: 0.7194026386364524
816846602-2959.csv_2: True Class: high, Predicted: inactive, Probability: 0.6950823730894948
817146566-2960.csv_1: True Class: high, Predicted: high, Probability: 0.8945181133401766
817446530-2961.csv_1: True Class: high, Predicted: inactive, Probability: 0.7791908363394464
817446530-2961.csv_2: True Class: low, Predicted: inactive, Probability: 0.7141730678143334
817746494-2962.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112503035714578
81789901-2963.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112478048100631
818046404-2964.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112525083502564
818346300-2965.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112314890522793
818646339-2966.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112357517805812
818946349-2967.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729451
819246312-2968.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112503035714579
819546222-2969.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112523613653142
819846119-2970.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112316360435326
820146157-2971.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112523613653161
820446052-2972.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112863137061973
820745716-2973.csv_1: True Class: low, Predicted: inactive, Probability: 0.7489897651344529
820745716-2973.csv_2: True Class: high, Predicted: inactive, Probability: 0.6952135762963929
820745716-2973.csv_3: True Class: inactive, Predicted: inactive, Probability: 1.0
82089830-2974.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112207585707448
821045810-2975.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112006199044509
821346059-2976.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
821646023-2977.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608654
821945986-2978.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
822245950-2979.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
822545914-2980.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608655
822845877-2981.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
823145841-2982.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
823445805-2983.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
823745769-2984.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
82389943-2985.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112441301376193
824045733-2986.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608655
824345696-2987.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
824645660-2988.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
824945624-2989.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
825245587-2990.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729452
825545551-2991.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
825845515-2992.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
826145479-2993.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112467759045797
826445413-2994.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
826745302-2995.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
82689895-2996.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112523613653144
827045191-2997.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112519204102211
827345092-2998.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112207585707443
827645205-2999.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
827945261-3000.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
828245225-3001.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
828545189-3002.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608655
828845152-3003.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
829145116-3004.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
829445080-3005.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
829745044-3006.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
82989792-3007.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112316360435325
830045008-3008.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608655
830344971-3009.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
830644935-3010.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
830944899-3011.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
831244862-3012.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112816104931404
831544557-3013.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
831844184-3014.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
832144523-3015.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112085578725091
832444718-3016.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
832744681-3017.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112658837939373
