820745716-2973.csv_2: True Class: high, Predicted: inactive, Probability: 0.6462615226805373
820745716-2973.csv_3: True Class: inactive, Predicted: inactive, Probability: 0.6560945749977277
82089830-2974.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614344688685355
821045810-2975.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614426815063383
821346059-2976.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.661425596448336
821646023-2977.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255364982313
821945986-2978.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
822245950-2979.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
822545914-2980.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255364982311
822845877-2981.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
823145841-2982.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
823445805-2983.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
823745769-2984.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
82389943-2985.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614249369962106
824045733-2986.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255364982311
824345696-2987.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
824645660-2988.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483364
824945624-2989.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483359
825245587-2990.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483361
825545551-2991.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
825845515-2992.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.661425596448336
826145479-2993.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614238578881109
826445413-2994.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614211600927549
826745302-2995.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614211600927549
82689895-2996.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614215797521661
827045191-2997.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614217596059334
827345092-2998.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614344688685356
827645205-2999.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614311117821917
827945261-3000.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
828245225-3001.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
