817446530-2961.csv_1: True Class: high, Predicted: inactive, Probability: 0.5066955098404533
817446530-2961.csv_2: True Class: low, Predicted: low, Probability: 0.9950988022229247
817746494-2962.csv_1: True Class: low, Predicted: low, Probability: 0.9963867399869111
81789901-2963.csv_1: True Class: low, Predicted: low, Probability: 0.9963876793597217
818046404-2964.csv_1: True Class: low, Predicted: low, Probability: 0.9963859109264234
818346300-2965.csv_1: True Class: low, Predicted: low, Probability: 0.9963938069330086
818646339-2966.csv_1: True Class: low, Predicted: low, Probability: 0.996392207035624
818946349-2967.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
819246312-2968.csv_1: True Class: low, Predicted: low, Probability: 0.9963867399869111
819546222-2969.csv_1: True Class: low, Predicted: low, Probability: 0.9963859662030189
819846119-2970.csv_1: True Class: low, Predicted: low, Probability: 0.996393751775903
820146157-2971.csv_1: True Class: low, Predicted: low, Probability: 0.996385966203019
820446052-2972.csv_1: True Class: low, Predicted: low, Probability: 0.9963731749055764
820745716-2973.csv_1: True Class: low, Predicted: low, Probability: 0.8185407372643702
820745716-2973.csv_2: True Class: high, Predicted: high, Probability: 0.7279355600279748
820745716-2973.csv_3: True Class: low, Predicted: low, Probability: 0.8444568770024331
82089830-2974.csv_1: True Class: low, Predicted: low, Probability: 0.9963978311321684
821045810-2975.csv_1: True Class: low, Predicted: low, Probability: 0.9964053713220209
821346059-2976.csv_1: True Class: low, Predicted: low, Probability: 0.9698673837203698
821346059-2976.csv_2: True Class: high, Predicted: high, Probability: 0.5598781073372352
821346059-2976.csv_3: True Class: low, Predicted: low, Probability: 0.8837866029929033
821646023-2977.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
821945986-2978.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
822245950-2979.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
822545914-2980.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
822845877-2981.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
823145841-2982.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
823445805-2983.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
823745769-2984.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
82389943-2985.csv_1: True Class: low, Predicted: low, Probability: 0.9963890603483039
824045733-2986.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
824345696-2987.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
824645660-2988.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
824945624-2989.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
825245587-2990.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
825545551-2991.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
825845515-2992.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
826145479-2993.csv_1: True Class: low, Predicted: low, Probability: 0.996388066089561
826445413-2994.csv_1: True Class: low, Predicted: low, Probability: 0.9960383743555776
826445413-2994.csv_2: True Class: high, Predicted: inactive, Probability: 0.5240144547446434
826745302-2995.csv_1: True Class: high, Predicted: high, Probability: 0.5936861604544117
826745302-2995.csv_2: True Class: low, Predicted: low, Probability: 0.9829437532883423
82689895-2996.csv_1: True Class: low, Predicted: low, Probability: 0.9963859662030189
827045191-2997.csv_1: True Class: low, Predicted: low, Probability: 0.9963861320277511
827345092-2998.csv_1: True Class: low, Predicted: low, Probability: 0.9963978311321684
827645205-2999.csv_1: True Class: low, Predicted: low, Probability: 0.9944698925432887
827645205-2999.csv_2: True Class: high, Predicted: high, Probability: 0.5032084466169692
827945261-3000.csv_1: True Class: high, Predicted: high, Probability: 0.7336683319106844
827945261-3000.csv_2: True Class: low, Predicted: low, Probability: 0.8899444235702502
828245225-3001.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
828545189-3002.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
828845152-3003.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
829145116-3004.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
829445080-3005.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
829745044-3006.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
82989792-3007.csv_1: True Class: low, Predicted: low, Probability: 0.996393751775903
830045008-3008.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
